pris,pris_kvm,prisant,verditakst,BOAProm,energi,boligtype,vest,dummyGrünneløkkaSagene,dummyFrogner,dummySt.Hanshaugen,dummyGamleOslo,solgt,byggeår,alder
5800000,58069,5990000,6000000,100,D,Leilighet,0,1,0,0,0,2014,2003,11
5800000,44615,5990000,6800000,130,C,Rekkehus,0,0,0,0,0,2014,2009,5
5800000,42336,4980000,5100000,137,C,Rekkehus,0,0,0,0,0,2014,2009,5
5780000,69639,5200000,5200000,83,E,Enebolig,0,0,0,0,0,2014,1924,90
5775000,41547,5690000,5700000,139,G,Enebolig,0,0,0,0,0,2014,1937,77
5750000,42279,6000000,6000000,136,G,Enebolig,0,0,0,0,0,2014,1970,44
5750000,54245,5890000,6250000,106,D,Leilighet,0,0,0,0,0,2014,2000,14
5720000,42059,5300000,5300000,136,G,Leilighet,0,0,0,1,0,2014,1916,98
5700000,29082,5390000,5500000,196,F,Enebolig,0,0,0,0,0,2014,1922,92
5700000,32022,5850000,5850000,178,G,Enebolig,0,0,0,0,0,2014,1950,64
5700000,51351,4950000,5100000,111,F,Leilighet,0,0,0,0,0,2014,1953,61
5700000,39583,5700000,5700000,144,F,Rekkehus,0,0,0,0,0,2014,1968,46
5700000,39310,5650000,5650000,145,F,Tomannsbolig,0,0,0,0,0,2014,1981,33
5700000,52294,5980000,6100000,109,E,Rekkehus,0,0,0,0,0,2014,1990,24
5700000,49565,5000000,5000000,115,D,Leilighet,0,0,0,0,1,2014,2005,9
5700000,46341,5000000,5000000,123,D,Tomannsbolig,0,0,0,0,0,2014,2005,9
5700000,#NULL!,5990000,6000000,85,B,Leilighet,0,1,0,0,0,2014,2013,1
5675000,49452,5700000,5800000,115,E,Leilighet,0,0,0,0,0,2014,1990,24
5650000,32471,5980000,6300000,174,G,Leilighet,0,0,0,0,0,2014,1949,65
5650000,32471,5980000,6300000,174,G,Enebolig,0,0,0,0,0,2014,1949,65
5650000,39510,5900000,6200000,143,G,Enebolig,0,0,0,0,0,2014,1950,64
5650000,34877,5500000,5500000,162,E,Enebolig,0,0,0,0,0,2014,1990,24
5650000,32849,5800000,5800000,172,E,Enebolig,0,0,0,0,0,2014,1994,20
5650000,58247,5800000,5800000,97,D,Leilighet,0,0,0,0,0,2014,1999,15
5650000,45200,4990000,5100000,125,C,Rekkehus,0,0,0,0,0,2014,2011,3
5600000,50000,5800000,5800000,112,G,Enebolig,0,0,0,0,1,2014,1850,164
5600000,46281,5490000,5900000,121,G,Leilighet,0,0,0,1,0,2014,1900,114
5600000,70886,4990000,5100000,79,G,Rekkehus,0,1,0,0,0,2014,1914,100
5600000,46667,5300000,5300000,120,G,Enebolig,0,1,0,0,0,2014,1964,50
5600000,46667,5300000,5300000,120,G,Enebolig,0,0,0,0,0,2014,1964,50
5600000,27586,5500000,5500000,203,G,Enebolig,0,0,0,0,0,2014,1969,45
5600000,36601,5250000,5250000,153,F,Rekkehus,0,0,0,0,0,2014,1972,42
5600000,37584,5100000,#NULL!,149,E,Enebolig,0,1,0,0,0,2014,1973,41
5600000,37584,5100000,#NULL!,149,E,Enebolig,0,0,0,0,0,2014,1973,41
5600000,47059,5300000,5300000,119,F,Rekkehus,0,0,0,0,0,2014,1980,34
5600000,39437,5600000,5900000,142,E,Rekkehus,0,0,0,0,0,2014,1987,27
5600000,31818,5300000,5300000,176,C,Enebolig,0,0,0,0,0,2014,1995,19
5600000,54017,5400000,5700000,104,E,Leilighet,0,1,0,0,0,2014,2001,13
5600000,62222,5600000,5600000,90,C,Leilighet,0,1,0,0,0,2014,2013,1
